nbLignes	1468
940125	303000	0.419573
940150	303000	0.952206
940200	303000	4.5909
940250	303000	13.5801
940275	303000	14.5795
941025	303000	44.3489
937850	303025	18.7311
937975	303025	23.8009
938200	303025	50.9089
938375	303025	36.9673
938425	303025	34.3812
938450	303025	33.011
938625	303025	25.877
939025	303025	15.1336
939400	303025	38.0292
939475	303025	37.3311
939750	303025	20.0135
939875	303025	12.8667
940075	303025	3.00252
940350	303025	20.2411
940925	303025	41.9205
938225	303050	45.9745
938325	303050	39.2531
938425	303050	33.59
939000	303050	13.4395
939275	303050	26.8941
939350	303050	35.7097
939525	303050	40.5176
939800	303050	17.0256
940125	303050	0.505894
940300	303050	13.6631
940450	303050	25.1692
940700	303050	29.2728
941125	303050	53.3066
938200	303075	45.3944
938600	303075	25.8425
939000	303075	12.5808
939075	303075	16.1045
939200	303075	22.5189
939225	303075	23.6776
939250	303075	24.9063
939300	303075	29.0904
939450	303075	43.3354
939525	303075	41.961
939775	303075	18.2916
939975	303075	7.58779
940000	303075	6.38834
940025	303075	5.21244
940050	303075	4.05766
940425	303075	23.8757
940525	303075	24.6952
940800	303075	35.5308
942700	303075	19.7926
938250	303100	37.8355
938275	303100	37.6203
938350	303100	34.8908
938375	303100	33.6377
938425	303100	31.1883
938500	303100	28.4765
939100	303100	16.0923
939450	303100	52.7651
939750	303100	19.3472
940025	303100	5.08709
940575	303100	25.9433
941125	303100	63.124
937875	303125	18.7796
938175	303125	34.3333
938475	303125	27.9881
938500	303125	27.2261
939100	303125	14.7606
939275	303125	23.2892
939325	303125	28.279
939675	303125	22.0746
939775	303125	17.3668
940950	303125	44.7529
937850	303150	17.9322
937875	303150	18.5533
938450	303150	27.1591
938500	303150	25.8056
938575	303150	23.8185
938850	303150	15.5513
939150	303150	15.7644
939425	303150	37.918
939525	303150	33.9342
939575	303150	29.3551
939625	303150	27.0125
939825	303150	14.1035
939900	303150	10.4206
940100	303150	1.33473
940400	303150	16.8229
940925	303150	43.0993
940975	303150	44.8527
937725	303175	15.5555
938075	303175	15.8746
938125	303175	16.1912
938250	303175	29.0262
938325	303175	28.9546
938400	303175	26.9062
938775	303175	17.0176
939125	303175	12.7226
939700	303175	18.8494
939775	303175	15.8129
940275	303175	6.77227
940325	303175	9.36371
940800	303175	36.5964
940975	303175	44.6088
938000	303200	17.2619
938200	303200	23.7338
938300	303200	26.6722
938325	303200	26.4256
938750	303200	16.7822
939275	303200	16.2866
939300	303200	16.0818
939400	303200	28.2841
939675	303200	18.1069
939900	303200	9.40435
939950	303200	7.26621
939975	303200	6.21495
940275	303200	6.63078
940600	303200	23.2459
941050	303200	45.389
937700	303225	13.7595
938550	303225	19.9508
938750	303225	15.8775
938975	303225	10.1631
939200	303225	12.0162
939450	303225	30.3362
939500	303225	30.1848
940125	303225	2.7367
940275	303225	6.49655
940375	303225	11.292
937700	303250	13.5705
937800	303250	16.8111
938150	303250	11.9948
938200	303250	17.9626
938300	303250	21.0386
938400	303250	20.2362
938425	303250	20.1348
938500	303250	19.9758
938525	303250	19.6469
938550	303250	18.9136
938725	303250	15.3962
938850	303250	12.909
939400	303250	23.8564
939475	303250	27.627
939725	303250	14.9547
939750	303250	14.1724
